"Zone Code","Zone Name","ks0010001","ks0010002","ks0010003","ks0010004","ks0010005","ks0010006"
"00EFMF","Fairfield",4939,2402,2537,4895,44,72
"00EFMG","Glebe",6151,2963,3188,6151,0,103
"00EFMH","Grange",4028,1931,2097,4006,22,17
"00EFMJ","Grangefield",4927,2408,2519,4905,22,39
"00EFMK","Hardwick",4833,2293,2540,4805,28,15
"00EFML","Hartburn",6608,3163,3445,6575,33,95
"00EFMM","Ingleby Barwick",16280,8272,8008,16049,231,156
"00EFMN","Mandale",6449,3126,3323,6449,0,29
"00EFMP","Marsh House",7838,3925,3913,7838,0,63
"00EFMQ","Mile House",5530,2606,2924,5451,79,13
"00EFMR","Newtown",5652,2718,2934,5613,39,13
"00EFMS","Northfield",4449,2160,2289,4449,0,47
"00EFMT","Norton",6756,3734,3022,5823,933,40
"00EFMU","Parkfield",5816,3015,2801,5654,162,37
"00EFMW","Portrack and Tilery",5249,2595,2654,5078,171,7
"00EFMX","Preston",2969,1436,1533,2896,73,58
"00EFMY","Roseworth",5416,2527,2889,5416,0,10
"00EFMZ","St. Aidan's",4707,2195,2512,4699,8,22
"00EFNA","St. Cuthbert's",5845,2751,3094,5733,112,30
"00EFNB","Stainsby",5585,2662,2923,5564,21,38
"00EFNC","Victoria",5544,2669,2875,5415,129,21
"00EFND","Village",5042,2429,2613,4951,91,29
"00EFNE","Whitton",4602,2283,2319,4564,38,83
"00EFNF","Wolviston",3611,1759,1852,3567,44,33
"00EFNG","Yarm",8679,4240,4439,8603,76,207
"00EHNC","Bank Top",3754,1780,1974,3647,107,17
"00EHND","Central",3611,1800,1811,3458,153,13
"00EHNE","Cockerton East",5081,2425,2656,5078,3,21
"00EHNF","Cockerton West",4180,1932,2248,4148,32,13
"00EHNG","College",3732,1749,1983,3585,147,108
"00EHNH","Eastbourne",5090,2463,2627,5090,0,17
"00EHNJ","Faverdale",1516,758,758,1516,0,9
"00EHNK","Harrowgate Hill",5894,2938,2956,5855,39,33
"00EHNL","Haughton East",4133,1949,2184,4082,51,26
"00EHNM","Haughton North",3465,1679,1786,3450,15,53
"00EHNN","Haughton West",5513,2622,2891,5440,73,37
"00EHNP","Heighington and Coniscliffe",2953,1455,1498,2914,39,46
"00EHNQ","Hummersknott",3584,1677,1907,3476,108,77
"00EHNR","Hurworth",3404,1644,1760,3364,40,66
"00EHNS","Lascelles",3518,1690,1828,3410,108,17
"00EHNT","Lingfield",3538,1694,1844,3515,23,17
"00EHNU","Middleton St George",3818,1805,2013,3527,291,53
"00EHNW","Mowden",3645,1741,1904,3645,0,58
"00EHNX","North Road",6054,2873,3181,5994,60,27
"00EHNY","Northgate",4421,2245,2176,4164,257,23
"00EHNZ","Park East",6061,2891,3170,6014,47,51
"00EHPA","Park West",3506,1607,1899,3446,60,62
"00EHPB","Pierremont",5534,2644,2890,5503,31,34
"00EHPC","Sadberge and Whessoe",1833,899,934,1833,0,43
"00ETMY","Appleton",6390,3021,3369,6319,71,37
"00ETMZ","Beechwood",3984,1928,2056,3984,0,62
"00ETNA","Birchfield",4449,2218,2231,4449,0,56
"00ETNB","Broadheath",6448,3140,3308,6392,56,37
"00ETNC","Castlefields",6429,3189,3240,6393,36,23
"00ETND","Daresbury",3906,1947,1959,3891,15,46
"00ETNE","Ditton",6249,3041,3208,6184,65,39
"00ETNF","Farnworth",5908,2897,3011,5821,87,64
"00ETNG","Grange",6865,3323,3542,6800,65,30
"00ETNH","Hale",1898,944,954,1898,0,27
"00ETNJ","Halton Brook",6597,3184,3413,6547,50,37
"00ETNK","Halton Lea",6413,3016,3397,6239,174,29
"00ETNL","Halton View",6886,3400,3486,6790,96,52
"00ETNM","Heath",5507,2669,2838,5466,41,48
"00ETNN","Hough Green",7067,3359,3708,7015,52,30
"00ETNP","Kingsway",6096,2910,3186,6092,4,28
"00ETNQ","Mersey",6146,2912,3234,6064,82,20
"00ETNR","Norton North",6494,3157,3337,6457,37,40
"00ETNS","Norton South",7227,3403,3824,7216,11,40
"00ETNT","Riverside",4814,2327,2487,4743,71,17
"00ETNU","Windmill Hill",2435,1150,1285,2435,0,3
"00EUNB","Appleton",10477,5177,5300,10246,231,193
"00EUNC","Bewsey and Whitecross",9432,4613,4819,9316,116,18
"00EUND","Birchwood",11395,5651,5744,11368,27,98
"00EUNE","Burtonwood and Winwick",5595,2758,2837,5381,214,44
"00EUNF","Culcheth, Glazebury and Croft",11454,5925,5529,10563,891,127
"00EUNG","Fairfield and Howley",10571,5161,5410,10310,261,23
"00EUNH","Grappenhall and Thelwall",9377,4577,4800,9245,132,122
"00EUNJ","Great Sankey North",6435,3189,3246,6348,87,66
"00EUNK","Great Sankey South",10099,4987,5112,10099,0,114
"00EUNL","Hatton, Stretton and Walton",2919,1505,1414,2896,23,39
"00EUNM","Latchford East",7503,3601,3902,7410,93,18
"00EUNN","Latchford West",6478,3148,3330,6431,47,28
"00EUNP","Lymm",10552,5121,5431,10451,101,198
"00EUNQ","Orford",10950,5392,5558,10950,0,41
"00EUNR","Penketh and Cuerdley",8804,4290,4514,8678,126,97
"00EUNS","Poplars and Hulme",10840,5135,5705,10804,36,39
"00EUNT","Poulton North",10466,5045,5421,10130,336,86
"00EUNU","Poulton South",6553,3226,3327,6541,12,46
"00EUNW","Rixton and Woolston",9752,4840,4912,9693,59,111
"00EUNX","Stockton Heath",6396,3104,3292,6294,102,75
"00EUNY","Westbrook",6564,3240,3324,6435,129,49
"00EUNZ","Whittle Hall",8468,4192,4276,8408,60,73
"00EXMZ","Audley",8504,4220,4284,8393,111,67
"00EXNA","Bastwell",7390,3704,3686,7381,9,101
"00EXNB","Beardwood with Lammack",5485,2678,2807,5394,91,133
"00EXNC","Corporation Park",6644,3251,3393,6356,288,108
"00EXND","Earcroft",4253,2015,2238,4135,118,24
"00EXNE","East Rural",1923,959,964,1923,0,29
"00EXNF","Ewood",6592,3217,3375,6588,4,41
"00EXNG","Fernhurst",3957,1992,1965,3934,23,26
"00EXNH","Higher Croft",6962,3338,3624,6925,37,25
"00EXNJ","Little Harwood",6182,2975,3207,6117,65,43
"00EXNK","Livesey with Pleasington",6804,3337,3467,6728,76,84
"00EXNL","Marsh House",6023,2988,3035,6017,6,40
"00EXNM","Meadowhead",5887,2815,3072,5839,48,46
"00EXNN","Mill Hill",6350,3059,3291,6349,0,22
"00EXNP","North Turton with Tockholes",4190,2081,2109,4160,30,80
"00EXNQ","Queen's Park",5683,2802,2881,5602,81,34
"00EXNR","Roe Lee",5948,2869,3079,5940,8,67
"00EXNS","Shadsworth with Whitebirk",7651,3651,4000,7599,52,43
"00EXNT","Shear Brow",7402,3725,3677,7289,113,105
"00EXNU","Sudell",6806,3297,3509,6737,69,28
"00EXNW","Sunnyhurst",6343,3092,3251,6247,96,57
"00EXNX","Wensley Fold",6421,3232,3189,6223,198,34
"00EXNY","Whitehall",4070,2012,2058,3996,74,34
"00EYMZ","Anchorsholme",6551,3030,3521,6526,25,44
"00EYNA","Bispham",6121,2950,3171,5823,298,41
"00EYNB","Bloomfield",7289,3744,3545,6408,881,22
"00EYNC","Brunswick",7353,3571,3782,7328,25,50
"00EYND","Claremont",7430,3831,3599,6923,507,33
"00EYNE","Clifton",6938,3263,3675,6878,60,14
"00EYNF","Greenlands",6410,3013,3397,6405,5,43
"00EYNG","Hawes Side",7194,3399,3795,7179,15,31
"00EYNH","Highfield",6527,3077,3450,6480,47,44
"00EYNJ","Ingthorpe",6634,3130,3504,6591,43,23
"00EYNK","Layton",6960,3244,3716,6862,98,39
"00EYNL","Marton",6636,3226,3410,6622,14,35
"00EYNM","Norbreck",6308,2991,3317,6184,124,71
"00EYNN","Park",7044,3373,3671,6801,243,39
"00EYNP","Squires Gate",6382,2942,3440,6000,382,57
"00EYNQ","Stanley",6312,2987,3325,6297,15,45
"00EYNR","Talbot",6913,3658,3255,6252,661,37
"00EYNS","Tyldesley",7013,3360,3653,6874,139,48
"00EYNT","Victoria",6739,3227,3512,6674,65,25
"00EYNU","Warbreck",6704,3315,3389,6405,299,51
"00EYNW","Waterloo",6825,3411,3414,6115,710,46
"00FAMX","Avenue",12307,6072,6235,11980,327,104
"00FAMY","Beverley",8581,4218,4363,8492,89,64
"00FAMZ","Boothferry",12395,5976,6419,12370,25,54
"00FANA","Bransholme East",9991,4820,5171,9954,37,20
"00FANB","Bransholme West",8754,4216,4538,8675,79,16
"00FANC","Bricknell",7954,3849,4105,7860,94,80
"00FAND","Derringham",11438,5488,5950,11438,0,27
"00FANE","Drypool",12529,6329,6200,12438,91,32
"00FANF","Holderness",13242,6621,6621,13179,63,66
"00FANG","Ings",12143,5799,6344,12027,116,44
"00FANH","Kings Park",5905,2967,2938,5859,46,15
"00FANJ","Longhill",11385,5440,5945,11373,12,39
"00FANK","Marfleet",13211,6527,6684,12710,501,15
"00FANL","Myton",11908,6225,5683,11307,601,27
"00FANM","Newington",11297,5620,5677,11193,104,42
"00FANN","Newland",9830,4859,4971,9619,211,30
"00FANP","Orchard Park and Greenwood",13999,6694,7305,13983,16,29
"00FANQ","Pickering",11164,5339,5825,10996,168,23
"00FANR","St Andrew's",6781,3259,3522,6636,145,11
"00FANS","Southcoates East",8167,3854,4313,8167,0,13
"00FANT","Southcoates West",8186,3996,4190,7948,238,16
"00FANU","Sutton",12881,6297,6584,12689,192,35
"00FANW","University",9541,4666,4875,9064,477,41
"00FBND","Beverley Rural",13940,6920,7020,13618,322,270
"00FBNE","Bridlington Central and Old Town",10460,4971,5489,10372,88,65
"00FBNF","Bridlington North",12098,5706,6392,11948,150,101
"00FBNG","Bridlington South",14709,7040,7669,14093,616,100
"00FBNH","Cottingham North",8871,4246,4625,7678,1193,116
"00FBNJ","Cottingham South",8897,4215,4682,8314,583,74
"00FBNK","Dale",15032,7526,7506,14432,600,207
"00FBNL","Driffield and Rural",13074,6272,6802,12864,210,137
"00FBNM","East Wolds and Coastal",13201,6491,6710,13133,68,172
"00FBNN","Goole North",9668,4654,5014,9520,148,63
"00FBNP","Goole South",9073,4359,4714,8963,110,50
"00FBNQ","Hessle",14767,7108,7659,14477,290,135
"00FBNR","Howden",4454,2193,2261,4415,39,52
"00FBNS","Howdenshire",14010,7113,6897,13519,491,151
"00FBNT","Mid Holderness",13484,6737,6747,13462,22,149
"00FBNU","Minster and Woodmansey",14785,7143,7642,14601,184,91
"00FBNW","North Holderness",9731,4603,5128,9561,170,120
"00FBNX","Pocklington Provincial",15087,7336,7751,14778,309,204
"00FBNY","St Mary's",15566,7490,8076,15383,183,220
"00FBNZ","Snaith, Airmyn and Rawcliffe and Marshland",8738,4298,4440,8629,109,94
"00FBPA","South East Holderness",14461,7060,7401,14221,240,134
"00FBPB","South Hunsley",9067,4405,4662,9004,63,188
"00FBPC","South West Holderness",13293,6474,6819,13100,193,112
"00FBPD","Tranby",9921,4801,5120,9917,4,88
"00FBPE","Willerby and Kirk Ella",13679,6593,7086,13515,164,265
"00FBPF","Wolds Weighton",14047,7295,6752,13364,683,218
"00FCMQ","Croft Baker",11677,5598,6079,11583,94,38
"00FCMR","East Marsh",11749,5705,6044,11606,143,29
"00FCMS","Freshney",10048,4927,5121,10010,38,112
"00FCMT","Haverstoe",10269,5000,5269,10167,102,137
"00FCMU","Heneage",11563,5723,5840,11446,117,54
"00FCMW","Humberston and New Waltham",9941,4812,5129,9783,158,104
"00FCMX","Immingham",11804,5760,6044,11673,131,81
"00FCMY","Park",11809,5736,6073,11410,399,143
"00FCMZ","Scartho",9380,4531,4849,9274,106,92
"00FCNA","Sidney Sussex",12961,6375,6586,12776,185,48
"00FCNB","South",13066,6238,6828,13003,63,52
"00FCNC","Waltham",7036,3366,3670,6884,152,115
"00FCND","West Marsh",7781,3809,3972,7768,13,24
"00FCNE","Wolds",6717,3274,3443,6610,107,115
"00FCNF","Yarborough",12178,5852,6326,11997,181,72
"00FDMR","Ashby",9304,4560,4744,9252,52,59
"00FDMS","Axholme Central",6605,3237,3368,6597,8,107
"00FDMT","Axholme North",7227,3570,3657,7178,49,66
"00FDMU","Axholme South",6709,3281,3428,6625,84,115
"00FDMW","Barton",9485,4621,4864,9376,109,93
"00FDMX","Bottesford",11177,5518,5659,11170,7,145
"00FDMY","Brigg and Wolds",10421,5086,5335,10234,187,145
"00FDMZ","Broughton and Appleby",6316,3105,3211,6159,157,79
"00FDNA","Brumby",11698,5636,6062,11636,62,76
"00FDNB","Burringham and Gunness",3698,1801,1897,3590,108,10
"00FDNC","Burton upon Stather and Winterton",10798,5275,5523,10692,106,157
"00FDND","Crosby and Park",11738,5717,6021,11609,129,98
"00FDNE","Ferry",10180,5094,5086,10090,90,116
"00FDNF","Frodingham",7777,3758,4019,7709,68,35
"00FDNG","Kingsway with Lincoln Gardens",10270,4956,5314,10069,201,124
"00FDNH","Ridge",12089,6001,6088,11835,254,145
"00FDNJ","Town",7357,3555,3802,7254,103,62
"00FFNG","Acomb",7729,3779,3950,7696,33,66
"00FFNH","Bishopthorpe",3802,1819,1983,3795,7,73
"00FFNJ","Clifton",12017,5683,6334,11652,365,98
"00FFNK","Derwent",3540,1723,1817,3487,53,57
"00FFNL","Dringhouses and Woodthorpe",10733,5198,5535,10690,43,166
"00FFNM","Fishergate",7921,3905,4016,7492,429,73
"00FFNN","Fulford",2595,1209,1386,2489,106,34
"00FFNP","Guildhall",6676,3138,3538,6378,298,55
"00FFNQ","Haxby and Wigginton",12468,5886,6582,12292,176,230
"00FFNR","Heslington",4122,2107,2015,1114,3008,23
"00FFNS","Heworth",11743,5497,6246,11524,219,70
"00FFNT","Heworth Without",3786,1822,1964,3771,15,62
"00FFNU","Holgate",11564,5702,5862,11452,112,77
"00FFNW","Hull Road",8269,4010,4259,8195,74,60
"00FFNX","Huntington and New Earswick",12089,5728,6361,11963,126,111
"00FFNY","Micklegate",10994,5316,5678,10762,232,85
"00FFNZ","Osbaldwick",3149,1502,1647,3093,56,26
"00FFPA","Rural West York",10286,4942,5344,9966,320,240
"00FFPB","Skelton, Rawcliffe and Clifton Without",12160,5911,6249,12104,56,101
"00FFPC","Strensall",7862,3869,3993,7606,256,131
"00FFPD","Westfield",13690,6491,7199,13516,174,51
"00FFPE","Wheldrake",3899,1900,1999,3847,52,96
"00FKMX","Abbey",12375,5922,6453,11441,934,96
"00FKMY","Allestree",13018,6319,6699,13018,0,201
"00FKMZ","Alvaston",13686,6728,6958,13610,76,51
"00FKNA","Arboretum",13789,7065,6724,13433,356,105
"00FKNB","Blagreaves",12517,6033,6484,12471,46,113
"00FKNC","Boulton",13744,6670,7074,13695,49,47
"00FKND","Chaddesden",13178,6411,6767,13151,27,64
"00FKNE","Chellaston",12153,5907,6246,12004,149,133
"00FKNF","Darley",12152,6020,6132,10693,1459,140
"00FKNG","Derwent",13623,6611,7012,13550,73,33
"00FKNH","Littleover",12257,5941,6316,12016,241,227
"00FKNJ","Mackworth",13043,6264,6779,12700,343,49
"00FKNK","Mickleover",13529,6529,7000,13352,177,209
"00FKNL","Normanton",13494,6658,6836,13304,190,106
"00FKNM","Oakwood",13429,6599,6830,13364,65,73
"00FKNN","Sinfin",13782,6673,7109,13708,74,70
"00FKNP","Spondon",11939,5890,6049,11831,108,84
"00FNNF","Abbey",12713,6084,6629,12603,110,76
"00FNNG","Aylestone",10801,5177,5624,10615,186,51
"00FNNH","Beaumont Leys",13838,6615,7223,13566,272,96
"00FNNJ","Belgrave",10297,4863,5434,10258,39,155
"00FNNK","Braunstone Park and Rowley Fields",16614,7787,8827,16484,130,63
"00FNNL","Castle",13465,6952,6513,11392,2073,82
"00FNNM","Charnwood",10664,5106,5558,10580,84,57
"00FNNN","Coleman",12099,5876,6223,12051,48,117
"00FNNP","Evington",9788,4560,5228,9678,110,155
"00FNNQ","Eyres Monsell",11229,5259,5970,11148,81,23
"00FNNR","Fosse",10735,5326,5409,10689,46,76
"00FNNS","Freemen",9983,4668,5315,9262,721,35
"00FNNT","Humberstone and Hamilton",11893,5807,6086,11668,225,93
"00FNNU","Knighton",16265,7804,8461,15120,1145,315
"00FNNW","Latimer",11583,5509,6074,11547,36,186
"00FNNX","New Parks",16022,7467,8555,15882,140,44
"00FNNY","Rushey Mead",15134,7320,7814,15060,74,275
"00FNNZ","Spinney Hills",21249,10427,10822,21217,32,184
"00FNPA","Stoneygate",17068,8479,8589,16856,212,231
"00FNPB","Thurncourt",9936,4701,5235,9828,108,76
"00FNPC","Westcotes",8653,4202,4451,8306,347,43
"00FNPD","Western Park",9892,4793,5099,9584,308,117
"00FPMS","Braunston and Belton",1263,616,647,1245,18,34
"00FPMT","Cottesmore",2941,1570,1371,2649,292,45
"00FPMU","Exton",1736,1032,704,1392,344,27
"00FPMW","Greetham",1679,1106,573,1129,550,30
"00FPMX","Ketton",2469,1206,1263,2394,75,55
"00FPMY","Langham",1042,510,532,1042,0,15
"00FPMZ","Lyddington",1318,651,667,1314,4,48
"00FPNA","Martinsthorpe",1146,551,595,1112,34,38
"00FPNB","Normanton",3019,1609,1410,2770,249,54
"00FPNC","Oakham North East",2811,1347,1464,2396,415,46
"00FPND","Oakham North West",3035,1506,1529,2948,87,18
"00FPNE","Oakham South East",2059,1004,1055,2050,9,54
"00FPNF","Oakham South West",2248,1079,1169,2248,0,50
"00FPNG","Ryhall and Casterton",2661,1310,1351,2659,3,50
"00FPNH","Uppingham",3947,2084,1863,3313,634,53
"00FPNJ","Whissendine",1189,572,617,1189,0,37
"00FYNE","Arboretum",10284,5448,4836,9853,431,40
"00FYNF","Aspley",15689,7528,8161,15689,0,33
"00FYNG","Basford",15113,7227,7886,14863,250,51
"00FYNH","Berridge",16122,8179,7943,15544,578,77
"00FYNJ","Bestwood",15321,7391,7930,15201,120,28
"00FYNK","Bilborough",16044,7694,8350,15934,110,30
"00FYNL","Bridge",9084,4745,4339,8994,90,35
"00FYNM","Bulwell",15755,7553,8202,15552,203,39
"00FYNN","Bulwell Forest",13825,6861,6964,13672,153,84
"00FYNP","Clifton North",12813,6193,6620,12093,720,157
"00FYNQ","Clifton South",13648,6634,7014,13630,18,32
"00FYNR","Dales",13867,6887,6980,13848,19,76
"00FYNS","Dunkirk and Lenton",9932,5244,4688,9453,479,44
"00FYNT","Leen Valley",9191,4435,4756,9135,56,77
"00FYNU","Mapperley",14105,6965,7140,13594,511,112
"00FYNW","Radford and Park",14546,7941,6605,14010,536,61
"00FYNX","St Ann's",13270,6774,6496,13081,189,24
"00FYNY","Sherwood",15130,7308,7822,14443,687,105
"00FYNZ","Wollaton East and Lenton Abbey",9031,4593,4438,5274,3757,41
"00FYPA","Wollaton West",14218,6930,7288,14141,77,249
"00GANY","Aylestone",6117,2933,3184,5843,274,79
"00GANZ","Backbury",2940,1427,1513,2873,67,62
"00GAPA","Belmont",9464,4571,4893,9464,0,48
"00GAPB","Bircher",2790,1354,1436,2716,74,59
"00GAPC","Bringsty",2899,1479,1420,2839,60,69
"00GAPD","Bromyard",5788,2876,2912,5653,135,59
"00GAPE","Burghill, Holmer and Lyde",3251,1566,1685,3162,89,61
"00GAPF","Castle",3153,1612,1541,3115,38,77
"00GAPG","Central",2503,1184,1319,2445,58,38
"00GAPH","Credenhill",3273,1603,1670,3175,98,54
"00GAPJ","Frome",3193,1591,1602,3192,3,79
"00GAPK","Golden Cross with Weobley",3030,1454,1576,3028,0,44
"00GAPL","Golden Valley North",2901,1441,1460,2900,3,64
"00GAPM","Golden Valley South",2915,1447,1468,2885,30,71
"00GAPN","Hagley",3458,1718,1740,3422,36,63
"00GAPP","Hampton Court",2689,1321,1368,2673,16,54
"00GAPQ","Hollington",1950,960,990,1900,50,37
"00GAPR","Hope End",5732,2794,2938,5602,130,146
"00GAPS","Kerne Bridge",3005,1478,1527,2906,99,71
"00GAPT","Kington Town",3176,1543,1633,3096,80,34
"00GAPU","Ledbury",9221,4353,4868,9158,63,134
"00GAPW","Leominster North",5648,2727,2921,5585,63,42
"00GAPX","Leominster South",5466,2660,2806,5340,126,58
"00GAPY","Llangarron",3194,1561,1633,3132,62,64
"00GAPZ","Mortimer",3168,1585,1583,3150,18,50
"00GAQA","Old Gore",3014,1502,1512,2979,35,67
"00GAQB","Pembridge and Lyonshall with Titley",2932,1470,1462,2884,48,39
"00GAQC","Penyard",3059,1517,1542,3045,14,49
"00GAQD","Pontrilas",3403,1694,1709,3365,38,85
"00GAQE","Ross-on-Wye East",4592,2166,2426,4482,110,38
"00GAQF","Ross-on-Wye West",5493,2649,2844,5456,37,64
"00GAQG","St Martins and Hinton",10692,5147,5545,10643,49,64
"00GAQH","St Nicholas",6328,3123,3205,6222,106,50
"00GAQJ","Stoney Street",2803,1385,1418,2781,22,38
"00GAQK","Sutton Walls",3090,1534,1556,3090,0,62
"00GAQL","Three Elms",10474,5081,5393,10428,46,85
"00GAQM","Tupsley",9264,4460,4804,9202,62,172
"00GAQN","Upton",2769,1385,1384,2769,0,74
"00GAQP","Valletts",3334,1660,1674,3278,56,46
"00GAQQ","Wormsley Ridge",2700,1339,1361,2697,3,57
"00GFNM","Apley Castle",2891,1453,1438,2856,35,57
"00GFNN","Arleston",3180,1521,1659,3173,7,17
"00GFNP","Brookside",7150,3564,3586,7145,5,38
"00GFNQ","Church Aston and Lilleshall",2912,1406,1506,2805,107,71
"00GFNR","College",3070,1523,1547,2976,94,42
"00GFNS","Cuckoo Oak",5648,2770,2878,5601,47,30
"00GFNT","Dawley Magna",9598,4733,4865,9593,5,32
"00GFNU","Donnington",6222,2984,3238,6053,169,32
"00GFNW","Dothill",2670,1328,1342,2648,22,23
"00GFNX","Edgmond",3188,1721,1467,2715,473,74
"00GFNY","Ercall",2819,1358,1461,2751,68,43
"00GFNZ","Ercall Magna",2825,1425,1400,2698,127,36
"00GFPA","Hadley and Leegomery",10117,4971,5146,10103,14,41
"00GFPB","Haygate",2646,1247,1399,2646,0,26
"00GFPC","Horsehay and Lightmoor",2808,1373,1435,2776,32,18
"00GFPD","Ironbridge Gorge",2417,1207,1210,2358,59,25
"00GFPE","Ketley and Oakengates",9050,4418,4632,8998,52,35
"00GFPF","Lawley and Overdale",4632,2297,2335,4626,6,25
"00GFPG","Madeley",5279,2492,2787,5238,41,52
"00GFPH","Malinslee",5977,2882,3095,5977,0,17
"00GFPJ","Muxton",5818,2870,2948,5818,0,37
"00GFPK","Newport East",2762,1402,1360,2762,0,38
"00GFPL","Newport North",2866,1436,1430,2793,73,37
"00GFPM","Newport South",2627,1284,1343,2587,40,38
"00GFPN","Newport West",2760,1344,1416,2714,46,48
"00GFPP","Park",2654,1305,1349,2594,60,24
"00GFPQ","Priorslee",6501,3279,3222,6141,360,117
"00GFPR","St Georges",5645,2727,2918,5601,44,16
"00GFPS","Shawbirch",3281,1636,1645,3281,0,38
"00GFPT","The Nedge",9593,4719,4874,9565,28,64
"00GFPU","Woodside",7061,3416,3645,7018,43,26
"00GFPW","Wrockwardine",4862,2411,2451,4844,18,69
"00GFPX","Wrockwardine Wood and Trench",6796,3357,3439,6791,5,42
"00GLMX","Abbey Green",11652,5570,6082,11481,171,39
"00GLMY","Bentilee and Townsend",11931,5779,6152,11874,57,21
"00GLMZ","Berryhill and Hanley East",10579,5093,5486,10531,48,15
"00GLNA","Blurton",11741,5705,6036,11686,55,28
"00GLNB","Burslem North",12127,5916,6211,11988,139,37
"00GLNC","Burslem South",12071,5928,6143,11829,242,32
"00GLND","Chell and Packmoor",11803,5721,6082,11679,124,30
"00GLNE","East Valley",11362,5442,5920,11286,76,35
"00GLNF","Fenton",12194,5930,6264,12188,6,25
"00GLNG","Hanley West and Shelton",10594,5217,5377,9344,1250,46
"00GLNH","Hartshill and Penkhull",11944,5791,6153,11550,394,64
"00GLNJ","Longton North",13758,6778,6980,13715,43,28
"00GLNK","Longton South",13366,6417,6949,13117,249,46
"00GLNL","Meir Park and Sandon",13331,6571,6760,13282,49,99
"00GLNM","Northwood and Birches Head",12025,5953,6072,12001,24,41
"00GLNN","Norton and Bradeley",11157,5441,5716,11092,65,34
"00GLNP","Stoke and Trent Vale",12271,6017,6254,12223,48,45
"00GLNQ","Trentham and Hanford",12068,5878,6190,11837,231,121
"00GLNR","Tunstall",12381,5964,6417,12220,161,28
"00GLNS","Weston and Meir North",12281,6047,6234,12148,133,62
"00HANP","Abbey",5197,2507,2690,4913,284,45
"00HANQ","Bathavon North",7074,3395,3679,6949,125,130
"00HANR","Bathavon South",2976,1487,1489,2726,250,71
"00HANS","Bathavon West",2503,1184,1319,2076,427,45
"00HANT","Bathwick",4087,2014,2073,2368,1719,63
"00HANU","Chew Valley North",2307,1144,1163,2307,0,64
"00HANW","Chew Valley South",2254,1073,1181,2254,0,46
"00HANX","Clutton",2444,1230,1214,2412,32,30
"00HANY","Combe Down",5339,2529,2810,5281,58,88
"00HANZ","Farmborough",2613,1291,1322,2556,57,44
"00HAPA","High Littleton",2932,1447,1485,2868,64,27
"00HAPB","Keynsham East",5479,2676,2803,5410,69,90
"00HAPC","Keynsham North",5035,2410,2625,4955,80,37
"00HAPD","Keynsham South",5019,2338,2681,4917,102,26
"00HAPE","Kingsmead",5253,2582,2671,5131,122,49
"00HAPF","Lambridge",5201,2514,2687,5179,22,66
"00HAPG","Lansdown",4603,2223,2380,4339,264,136
"00HAPH","Lyncombe",5232,2548,2684,5148,84,110
"00HAPJ","Mendip",2751,1306,1445,2690,61,39
"00HAPK","Midsomer Norton North",5367,2686,2681,5354,13,40
"00HAPL","Midsomer Norton Redfield",5091,2494,2597,5050,41,39
"00HAPM","Newbridge",5596,2595,3001,5375,221,88
"00HAPN","Odd Down",5261,2509,2752,5261,0,43
"00HAPP","Oldfield",5412,2604,2808,5344,68,32
"00HAPQ","Paulton",4896,2438,2458,4822,74,48
"00HAPR","Peasedown",6306,3091,3215,6280,26,43
"00HAPS","Publow and Whitchurch",2400,1172,1228,2357,43,28
"00HAPT","Radstock",5276,2660,2616,5246,30,31
"00HAPU","Saltford",4153,2006,2147,4149,4,76
"00HAPW","Southdown",5864,2872,2992,5864,0,41
"00HAPX","Timsbury",2581,1242,1339,2510,71,31
"00HAPY","Twerton",5432,2597,2835,5347,85,18
"00HAPZ","Walcot",5641,2849,2792,5637,4,67
"00HAQA","Westfield",5591,2758,2833,5571,20,33
"00HAQB","Westmoreland",5251,2557,2694,5207,44,33
"00HAQC","Weston",5275,2430,2845,5210,65,76
"00HAQD","Widcombe",5348,2685,2663,5173,175,84
"00HBNM","Ashley",11168,5524,5644,11066,102,96
"00HBNN","Avonmouth",12177,5930,6247,12047,130,46
"00HBNP","Bedminster",10758,5270,5488,10684,74,37
"00HBNQ","Bishopston",11996,6133,5863,11792,204,123
"00HBNR","Bishopsworth",11339,5423,5916,11270,69,30
"00HBNS","Brislington East",11511,5565,5946,11409,102,59
"00HBNT","Brislington West",10636,5222,5414,10558,78,36
"00HBNU","Cabot",9604,4964,4640,8082,1522,71
"00HBNW","Clifton",10293,5399,4894,9240,1053,142
"00HBNX","Clifton East",9359,4739,4620,8723,636,91
"00HBNY","Cotham",10902,5390,5512,10643,259,115
"00HBNZ","Easton",10716,5199,5517,10648,68,51
"00HBPA","Eastville",10852,5291,5561,10678,174,54
"00HBPB","Filwood",11501,5462,6039,11443,58,20
"00HBPC","Frome Vale",10756,4992,5764,10103,653,81
"00HBPD","Hartcliffe",11253,5461,5792,11238,15,23
"00HBPE","Henbury",9498,4365,5133,9352,146,57
"00HBPF","Hengrove",11331,5425,5906,11274,57,27
"00HBPG","Henleaze",10506,5060,5446,10265,241,257
"00HBPH","Hillfields",12343,5947,6396,12265,78,41
"00HBPJ","Horfield",11268,5569,5699,11060,208,65
"00HBPK","Kingsweston",10844,5083,5761,10796,48,69
"00HBPL","Knowle",10881,5297,5584,10815,66,59
"00HBPM","Lawrence Hill",10585,5318,5267,10313,272,42
