Zone Code,Zone Name,people,households,rent,%rent,qual,%noqual
31UCGG,Anstey,5821,46,2428,41.71104621,53,0.910496478
00CFFA,Anston and Woodsetts,11361,121,4565,40.18132207,96,0.844996039
39UFGF,Apedale,1118,17,426,38.10375671,11,0.983899821
00GFNM,Apley Castle,2891,57,1094,37.84157731,42,1.452784504
31UHFZ,Appleby,2091,33,864,41.31994261,13,0.621712099
16UFGG,Appleby (Appleby),1317,13,652,49.50645406,4,0.303720577
16UFGH,Appleby (Bongate),1545,20,647,41.87702265,8,0.517799353
18UKGE,Appledore,2946,29,1369,46.46978955,11,0.373387644
00ETMY,Appleton,6390,37,2849,44.58528951,63,0.985915493
00EUNB,Appleton,10477,193,4011,38.28385988,85,0.811300945
22UEFQ,Appleton,6681,45,2662,39.84433468,36,0.538841491
38UEGR,Appleton and Cumnor,6400,178,2605,40.703125,79,1.234375
36UHGN,Appleton Roebuck,1762,46,669,37.96821793,18,1.021566402
26UCGJ,Apsley,2916,23,1248,42.79835391,19,0.651577503
00FKNA,Arboretum,13789,105,5715,41.44608021,575,4.169990572
00FYNE,Arboretum,10284,40,4383,42.61960327,2328,22.63710618
47UEFN,Arboretum,5611,45,2637,46.99697024,105,1.871324185
00MFNB,Arborfield,2042,53,717,35.11263467,34,1.66503428
12UBFR,Arbury,8806,99,3909,44.39018851,696,7.903702021
26UFGC,Arbury,2462,71,1034,41.9983753,23,0.934199838
44UCFS,Arbury,5482,24,2120,38.67201751,30,0.547245531
45UGGH,Ardingly and Balcombe,5290,113,2046,38.67674858,76,1.436672968
22UNGM,Ardleigh and Little Bromley,2370,51,906,38.2278481,19,0.801687764
00CCFA,Ardsley,8705,53,3567,40.97645032,94,1.079839173
00BNFA,Ardwick,9809,39,4238,43.2052197,1417,14.44591701
47UGFW,Areley Kings,6041,58,2535,41.96325112,42,0.695249131
16UEGD,Arlecdon,1539,24,626,40.67576348,12,0.779727096
09UCGJ,Arlesey,4741,30,2006,42.31174858,28,0.590592702
00GFNN,Arleston,3180,17,1287,40.47169811,19,0.597484277
44UBFW,Arley and Whitacre,5444,32,2266,41.62380602,44,0.808229243
41UDGG,Armitage with Handsacre,5181,26,2133,41.16965837,33,0.636942675
00DAFB,Armley,22034,72,9295,42.1848053,379,1.720068984
00CEFB,Armthorpe,17382,119,7204,41.44517317,93,0.535036244
16UGHB,Arnside & Beetham,4025,88,1865,46.33540373,33,0.819875776
00BYFE,Arundel,13543,65,5526,40.80336705,3464,25.57778926
45UCGH,Arundel,4233,71,2000,47.24781479,25,0.590597685
15UCFX,Arwenack,6154,82,2797,45.45011375,487,7.913552161
00MAMW,Ascot,5460,97,2038,37.32600733,84,1.538461538
00MEMZ,Ascot and Cheapside,5065,141,1742,34.3928924,118,2.329713722
38UFGM,Ascott and Shipton,1968,51,837,42.5304878,15,0.762195122
31UGFT,Asfordby,3107,23,1320,42.48471194,20,0.643707757
29UKGK,Ash,6594,120,2472,37.48862602,70,1.061571125
43UDFY,Ash South and Tongham,8005,65,3338,41.69893816,52,0.649594004
43UDFZ,Ash Vale,5807,55,2453,42.24212158,43,0.740485621
43UDGA,Ash Wharf,6073,51,2509,41.31401284,43,0.708052034
17UFGC,Ashbourne North,3609,48,1559,43.19756165,22,0.609587143
17UFGD,Ashbourne South,4035,40,1625,40.27261462,36,0.892193309
00AHGF,Ashburton,13560,157,5228,38.55457227,169,1.246312684
18UHGM,Ashburton and Buckfastleigh,7664,110,3233,42.184238,64,0.835073069
00FDMR,Ashby,9304,59,4033,43.34694755,52,0.558899398
31UHGA,Ashby Castle,2632,43,1033,39.24772036,24,0.911854103
32UEGH,Ashby de la Launde,2556,37,937,36.65884194,19,0.743348983
31UHGB,Ashby Holywell,4420,59,1907,43.14479638,29,0.656108597
31UHGC,Ashby Ivanhoe,4526,75,1853,40.94122846,45,0.994255413
23UGGE,Ashchurch with Walton Cardiff,2255,28,899,39.86696231,10,0.44345898
22UQGJ,Ashdon,1601,43,619,38.66333542,9,0.562148657
21UDFS,Ashdown,5158,51,2048,39.70531214,26,0.504071345
11UCGL,Asheridge Vale and Lowndes,4495,58,1715,38.15350389,47,1.045606229
00MWPC,Ashey,3026,32,1223,40.41639128,19,0.627891606
43UHFS,Ashford Common,7671,43,3290,42.88880198,47,0.612697171
43UHFT,Ashford East,6958,53,2912,41.85110664,41,0.589249784
43UHFU,Ashford North and Stanwell South,7553,40,2955,39.12352708,60,0.794386337
43UHFW,Ashford Town,6772,59,2697,39.8257531,55,0.81216775
22ULGA,Ashingdon and Canewdon,4208,27,1597,37.95152091,28,0.66539924
00HBNM,Ashley,11168,96,5014,44.89613181,618,5.533667622
26UGFX,Ashley,7030,87,2803,39.87197724,94,1.3371266
11UCGM,"Ashley Green, Latimer and Chenies",2183,57,857,39.25790197,16,0.732936326
17UJGD,Ashover,1796,42,734,40.86859688,11,0.61247216
26UCGK,Ashridge,2650,92,1041,39.28301887,25,0.943396226
26UJFY,Ashridge,3675,22,1454,39.56462585,24,0.653061224
43UEGA,Ashtead Common,4040,70,1598,39.55445545,36,0.891089109
43UEGB,Ashtead Park,3796,109,1557,41.01685985,52,1.369863014
43UEGC,Ashtead Village,5658,125,2280,40.29692471,54,0.954400848
30UFGA,Ashton,4415,79,2122,48.06342016,41,0.928652322
30UKFW,Ashton,4430,47,1827,41.24153499,199,4.492099323
00BTFA,Ashton Hurst,11994,123,4701,39.1945973,137,1.142237786
46UCGW,Ashton Keynes and Minety,4752,127,1805,37.98400673,31,0.652356902
00BTFB,Ashton St. Michael's,11050,58,4733,42.83257919,118,1.067873303
00BTFC,Ashton St. Peters',9657,58,4455,46.13233924,122,1.263332298
00BTFD,Ashton Waterloo,10825,69,4576,42.27251732,89,0.822170901
00BWFB,Ashton-Golborne,13961,90,5577,39.9469952,116,0.83088604
30UPGD,Ashurst,6732,48,2521,37.44800951,98,1.455733809
45UGGJ,Ashurst Wood,2784,49,1059,38.0387931,19,0.682471264
24UJGL,"Ashurst, Copythorne South and Netley Marsh",5535,81,2228,40.25293586,34,0.614272809
40UBGK,Ashwick and Ston Easton,2285,46,877,38.38074398,19,0.831509847
00CEFC,Askern,11042,74,4428,40.1014309,70,0.633943126
00ANGB,Askew,11886,45,5488,46.17196702,463,3.895339054
16UFGJ,Askham,1326,22,562,42.38310709,8,0.60331825
16UBGN,Aspatria,3266,24,1408,43.11083895,18,0.551132884
00FYNF,Aspley,15689,33,6264,39.92606285,214,1.364013003
09UCGK,Aspley Guise,2402,41,988,41.13238968,19,0.791007494
00BWFC,Aspull-Standish,14716,185,6009,40.83310682,132,0.896982876
13UCFY,Astbury,1774,39,697,39.2897407,20,1.127395716
33UFGP,Astley,2103,42,875,41.60722777,12,0.570613409
30UEGA,Astley and Buckshaw,3583,66,1478,41.25034887,37,1.0326542
00BLFA,Astley Bridge,13979,127,5869,41.98440518,129,0.922812791
00CNFB,Aston,26972,88,10354,38.38795788,764,2.832567107
17UKFW,Aston,6120,83,2492,40.71895425,40,0.653594771
44UEGP,Aston Cantlow,1930,23,818,42.38341969,14,0.725388601
11UBGR,Aston Clinton,9144,180,3571,39.05293088,81,0.885826772
38UDGK,Aston Rowant,2380,51,956,40.16806723,16,0.672268908
00CFFB,"Aston, Orgreave and Ulley",14904,117,5995,40.22410091,111,0.744766506
34UGGK,Astwell,2012,52,789,39.21471173,15,0.745526839
47UDFN,Astwood Bank and Feckenham,5301,93,2190,41.31295982,40,0.754574609
00CCFB,Athersley,8238,13,3360,40.78659869,54,0.655498908
44UBFX,Atherstone Central,3448,7,1582,45.88167053,14,0.406032483
44UBFY,Atherstone North,3585,21,1412,39.38633194,17,0.474198047
44UBFZ,Atherstone South and Mancetter,3754,37,1546,41.18273841,25,0.665956313
00BWFD,Atherton,10998,34,4846,44.06255683,84,0.763775232
37UDFY,Attenborough,2283,23,1004,43.97722295,34,1.489268506
44UCFT,Attleborough,7564,38,3206,42.38498149,45,0.594923321
46UFGF,Atworth and Whitley,2596,49,1033,39.79198767,33,1.271186441
00BTFE,Audenshaw,12790,56,5260,41.12587959,91,0.711493354
13UDGF,Audlem,3603,75,1489,41.32667222,37,1.026922009
00EXMZ,Audley,8504,67,2989,35.14816557,185,2.175446849
41UEGA,Audley and Bignall End,5770,34,2464,42.70363951,39,0.675909879
30UPGE,Aughton and Downholland,5644,119,2245,39.77675408,80,1.417434444
30UPGF,Aughton Park,3907,77,1486,38.03429741,62,1.586895316
43UCFP,Auriol,3687,58,1472,39.9240575,15,0.406834825
11UCGN,Austenwood,2197,89,748,34.04642695,19,0.864815658
40UBGL,Avalon,2405,62,934,38.83575884,23,0.956340956
32UGGN,Aveland,2097,30,803,38.29279924,6,0.286123033
00KGMX,Aveley and Uplands,8381,19,3616,43.1452094,29,0.346020761
23UCGM,Avening,1865,43,766,41.07238606,13,0.697050938
00FAMX,Avenue,12307,104,5515,44.81189567,701,5.695945397
40UFFY,Aville Vale,1159,26,514,44.34857636,5,0.431406385
18UGGN,Avon and Harbourne,2148,48,865,40.27001862,21,0.977653631
44UDGA,Avon and Swift,2555,35,1080,42.27005871,19,0.743639922
34UEGA,Avondale,4220,11,1836,43.507109,31,0.734597156
00ANGC,Avonmore and Brook Green,11522,97,5451,47.30949488,637,5.52855407
00HBNN,Avonmouth,12177,46,5162,42.39139361,90,0.7390983
23UDGG,Awre,1644,20,650,39.5377129,10,0.608272506
37UDFZ,Awsworth,2266,13,914,40.33539276,22,0.970873786
40UCGJ,Axbridge,2025,27,821,40.54320988,15,0.740740741
40UCGK,Axe Vale,2035,50,778,38.23095823,24,1.179361179
00FDMS,Axholme Central,6605,107,2780,42.08932627,56,0.847842544
00FDMT,Axholme North,7227,66,2978,41.20658641,41,0.567317006
00FDMU,Axholme South,6709,115,2734,40.75122969,46,0.685646147
18UBGN,Axminster Rural,2186,23,965,44.14455627,15,0.686184812
18UBGP,Axminster Town,3917,25,1837,46.89813633,15,0.382946132
11UBGS,Aylesbury Central,2720,37,1301,47.83088235,39,1.433823529
29UPHJ,Aylesford,4548,41,1796,39.48988566,29,0.63764292
29UBGZ,Aylesford Green,2721,7,1135,41.71260566,21,0.771775083
29UEGJ,Aylesham,4731,22,1827,38.61762841,38,0.803212851
00FNNG,Aylestone,10801,51,4764,44.10702713,199,1.842421998
00GANY,Aylestone,6117,79,2599,42.48814778,122,1.99444172
33UCGP,Aylsham,6765,73,2976,43.99113082,33,0.487804878
00ECND,Ayresome,6661,26,2660,39.93394385,63,0.945803933
00CQFA,Bablake,15041,106,6342,42.16474968,170,1.130244
00GANZ,Backbury,2940,62,1217,41.39455782,25,0.850340136
00HCNP,Backwell,5455,113,2189,40.12832264,48,0.879926673
42UEGM,Bacton and Old Newton,2294,27,920,40.10462075,19,0.828247602
34UCGF,Badby,1977,48,799,40.41476985,12,0.606980273
44UBGA,Baddesley and Grendon,3951,23,1600,40.49607694,27,0.683371298
23UGGF,Badgeworth,2205,25,928,42.0861678,13,0.589569161
47UFGP,Badsey,2657,35,1054,39.6687994,14,0.526910049
42UEGN,Badwell Ash,2487,56,972,39.08323281,13,0.522718134
00MRMP,Baffins,13850,50,5571,40.22382671,195,1.407942238
39UEFZ,Bagley,4621,36,1933,41.83077256,39,0.843973166
41UHGG,Bagnall and Stanley,1481,24,595,40.17555706,8,0.540175557
41UCGE,Bagots,2468,58,985,39.910859,18,0.729335494
43UJFS,Bagshot,5365,59,2306,42.98229264,35,0.652376514
00BNFB,Baguley,11402,32,4985,43.72039993,185,1.622522364
00CXFA,Baildon,15569,204,6624,42.54608517,151,0.969876036
21UDFT,Baird,5243,32,2100,40.05340454,36,0.686629792
17UFGE,Bakewell,4801,99,2088,43.49093939,47,0.978962716
00CEFD,Balby,14280,77,5803,40.6372549,99,0.693277311
00BQFA,Balderstone,9699,50,4201,43.31374368,91,0.938241056
37UGGH,Balderton North,5437,42,2320,42.6705904,31,0.570167372
37UGGJ,Balderton West,4639,40,1912,41.21577926,15,0.323345549
26UFGD,Baldock East,2435,17,1002,41.14989733,21,0.862422998
26UFGE,Baldock Town,7431,74,3205,43.13013053,40,0.53828556
47UCHR,Baldwin,1857,41,777,41.84168013,10,0.538502962
00BJFZ,Balham,12840,181,5671,44.16666667,287,2.235202492
11UCGP,"Ballinger, South Heath and Chartridge",2204,67,865,39.24682396,17,0.771324864
12UGGW,Balsham,4465,126,1756,39.3281075,31,0.694288914
30UNFZ,Bamber Bridge East,4431,22,1738,39.22365155,32,0.722184608
30UNGA,Bamber Bridge North,3943,17,1588,40.27390312,28,0.710119199
30UNGB,Bamber Bridge West,3752,21,1702,45.36247335,19,0.506396588
35UCFS,Bamburgh,788,16,373,47.33502538,7,0.888324873
38UFGN,Bampton and Clanfield,3634,89,1505,41.41441937,28,0.770500826
38UBGL,Banbury Calthorpe,5382,86,2192,40.72835377,38,0.706057228
38UBGM,Banbury Easington,7598,73,3169,41.7083443,59,0.776520137
38UBGN,Banbury Grimsbury and Castle,8892,45,4239,47.67206478,58,0.652271705
38UBGP,Banbury Hardwick,5977,29,2453,41.04065585,12,0.200769617
38UBGQ,Banbury Neithrop,5531,20,2278,41.18604231,44,0.795516182
38UBGR,Banbury Ruscote,8422,28,3161,37.53265258,64,0.75991451
26UHFQ,Bandley Hill,6820,42,2720,39.88269795,27,0.395894428
30UDGQ,Bank Hall,5884,44,2604,44.25560843,61,1.036709721
00EHNC,Bank Top,3754,17,1739,46.32392115,26,0.692594566
43UFFU,Banstead Village,8510,113,3177,37.33254994,69,0.810810811
00HCNQ,Banwell and Winscombe,8691,140,3675,42.28512254,94,1.081578645
12UGGX,Bar Hill,5177,95,2160,41.7230056,47,0.907861696
44UCFU,Bar Pool,7451,23,3088,41.44410146,38,0.509998658
34UCGG,Barby and Kilsby,4104,68,1340,32.65107212,45,1.096491228
21UFGG,Barcombe and Hamsey,1976,37,799,40.43522267,20,1.012145749
36UBGC,Barden Fell,1695,38,648,38.2300885,16,0.943952802
32UHGD,Bardney,1814,25,781,43.05402426,7,0.385887541
31UHGD,Bardon,2225,5,870,39.1011236,9,0.404494382
44UEGQ,Bardon,1796,40,777,43.26280624,13,0.723830735
42UFGM,Bardwell,2376,46,971,40.86700337,10,0.420875421
30UHGG,Bare,4058,43,1901,46.84573682,44,1.084277969
00MSMR,Bargate,11833,44,4772,40.32789656,2906,24.55843827
29UCGC,Barham Downs,2551,62,1024,40.14112113,32,1.254410035
00MFNC,Barkham,4175,73,1208,28.93413174,27,0.646706587
42UEGP,Barking and Somersham,2126,32,833,39.18156162,9,0.423330198
00BCFZ,Barkingside,11303,161,4136,36.59205521,279,2.468371229
41UGGH,Barlaston and Oulton,3906,57,1661,42.52432156,38,0.972862263
17UCGB,Barlborough,3018,26,1254,41.55069583,19,0.629555997
36UHGP,Barlby,3852,21,1600,41.53686397,15,0.3894081
31UEFW,"Barlestone, Nailstone and Osbaston",3258,29,1290,39.59484346,31,0.95150399
22ULGB,Barling and Sutton,1784,15,686,38.4529148,12,0.67264574
17UJGE,Barlow and Holmesfield,1898,30,823,43.36143309,19,1.001053741
00BNFC,Barlow Moor,12895,63,5867,45.49825514,974,7.553315238
29UHGG,Barming,2233,31,953,42.67801164,11,0.492610837
